country_code,DZA,AGO,ARG,AUS,AUT,BHR,BGD,BEL,BEN,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,CIV,DNK,DOM,EGY,SLV,EST,ETH,FRA,DEU,GHA,GRC,GTM,HND,HUN,IND,IDN,IRN,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KWT,LBN,LBR,LTU,MDG,MWI,MYS,MLI,MEX,MNG,MAR,MOZ,MMR,NAM,NLD,NZL,NGA,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SAU,SEN,SGP,ZAF,KOR,ESP,LKA,SWE,CHE,TZA,THA,TTO,TUN,TUR,ARE,UGA,GBR,USA,VEN,VNM,ZMB,ZWE,HRV,FIN,LUX,NOR,SVK,UKR
DZA,1,0.469983015,0.508183093,0.334708344,0.453413722,0.707342464,0.509728012,0.46144384,0.70861818,0.638039291,0.424678985,0.606230139,0.678859909,0.484004042,0.647725987,0.296086775,0.482964186,0.176771913,0.386216151,0.600263868,0.335117924,0.572083082,0.623803027,0.439440639,0.426687918,0.631432296,0.346914126,0.408128672,0.736223969,0.408787217,0.424649812,0.596044307,0.331839446,0.286504534,0.268007244,0.626879276,0.422613014,0.452018395,0.597195893,0.312524197,0.090590015,0.398546606,0.601284274,0.767344444,0.556088008,0.280990593,0.328831586,0.581826507,0.317756805,0.314440857,0.652784212,0.42560185,0.427961671,0.428504664,0.763782969,0.320718043,0.347298369,0.310185342,0.328889756,0.349942431,0.520532938,0.629892875,0.541838315,0.491520293,0.523309154,0.26860586,0.391521959,0.374418244,0.497931727,0.607948455,0.381261088,0.388830106,0.320929036,0.756419631,0.429882575,0.347621474,0.374290826,0.511434285,0.371876274,0.331673261,0.445230803,0.708767128,0.307147289,0.671545769,0.41722031,0.416172907,0.381411689,0.652080501,0.25828071,0.462766057,0.383770325,0.700946614,0.464824093,0.487878719,0.054988276,-0.137602367,-0.102602022,-0.096231773,-0.021233124,-0.070231837
AGO,0.469983015,1,0.340923644,0.404648389,0.43028218,0.478710048,0.705635373,0.368296826,0.569304854,0.474369517,0.573822133,0.568613773,0.518787144,0.650364969,0.49990146,0.160261766,0.367530892,0.370414012,0.654757241,0.608469685,0.29409872,0.640352149,0.459159262,0.668521354,0.377876261,0.454923064,0.441426083,0.494442319,0.430246968,0.401960214,0.567543605,0.711485687,0.417691934,0.363180715,0.382924227,0.543341463,0.055619373,0.51039415,0.59070091,0.281060012,0.147977087,0.198753465,0.635313352,0.452253545,0.424754664,0.468353149,0.38226997,0.555349315,0.49646608,0.316523278,0.515203989,0.526317892,0.326317061,0.505452745,0.674099201,0.709543508,0.460483919,0.379569093,0.229014237,0.565225159,0.572354626,0.681108541,0.652228715,0.557764696,0.529432569,0.243323341,0.477883082,0.480553869,0.292056322,0.242166365,0.355295053,0.686513293,0.242390736,0.570533851,0.077123216,0.514806356,0.333539842,0.369026001,0.620982976,0.313890924,0.125622673,0.418832872,0.304842678,0.520675998,0.626506757,0.533717975,-0.07746908,0.522192336,0.276230591,0.051504212,0.154364192,0.636670386,0.531065004,0.683864122,-0.031702102,0.029440681,-0.027825518,-0.083941383,-0.019700573,-0.064548592
ARG,0.508183093,0.340923644,1,0.585441902,0.499715002,0.526611487,0.640655721,0.42378701,0.351057811,0.476598557,0.659505743,0.523968771,0.271989593,0.406685402,0.265038516,0.502924977,0.493375869,0.371607198,0.542796024,0.320095219,0.453936357,0.648376186,0.72222261,0.365788003,0.543859625,0.367555283,0.56172818,0.505823309,0.48152629,0.52810585,0.353951388,0.436342153,0.394286562,0.554218808,0.630358495,0.631387157,0.402471322,0.642992553,0.448885895,0.74949292,0.348357121,0.542169437,0.598133945,0.648495517,0.431314804,0.359217889,0.541341078,0.245188487,0.560992708,0.657904446,0.302576202,0.671814083,0.252737282,0.60674766,0.438788807,0.487829751,0.439184941,0.520632354,0.404608156,0.710828887,0.655045779,0.453545778,0.534357641,0.426217393,0.70445104,0.512566967,0.622042073,0.608375256,0.332323724,0.5527608,0.697340533,0.524433093,0.582669061,0.532028493,0.292161644,0.726887434,0.63004872,0.561745718,0.38322786,0.508571599,0.380917385,0.402661134,0.573657797,0.51412458,0.514207884,0.605660277,0.178563437,0.547551288,0.571109383,0.389624644,0.277739099,0.558124768,0.591466903,0.439136903,-0.03479521,-0.188207115,-0.125354482,-0.210021775,-0.09191988,0.09171095
AUS,0.334708344,0.404648389,0.585441902,1,0.645553227,0.487306544,0.48793887,0.730516164,0.193176074,0.337966567,0.789354069,0.730605467,0.088578442,0.202370036,0.123627639,0.793261122,0.631564568,0.494252416,0.509533362,0.167749014,0.580616883,0.517151383,0.565965759,0.402149136,0.706216883,0.184403017,0.82988365,0.758468757,0.3184589,0.749391561,0.229439895,0.365882685,0.619879639,0.503556754,0.53672479,0.367519142,0.55258115,0.850760154,0.427959148,0.648014415,0.242431013,0.4804706,0.579605042,0.559239127,0.34716876,0.323925711,0.761582135,0.212099374,0.358451464,0.585991748,0.126161793,0.703944753,0.134477515,0.586086761,0.264077006,0.448020085,0.293615107,0.760021958,0.825240376,0.531172968,0.692039916,0.498245586,0.461642277,0.51575432,0.67904008,0.516626003,0.749840528,0.844133321,0.275553315,0.467000383,0.640039884,0.453389251,0.44447454,0.333039071,0.374517101,0.616060238,0.757567093,0.68592344,0.312437076,0.693375677,0.47393645,0.246414717,0.510681575,0.347881356,0.376369303,0.822797946,0.118095176,0.506252836,0.922703324,0.582448621,0.131522026,0.505193538,0.387530435,0.463190841,0.234141967,0.220327249,0.270943118,0.191894507,0.256001986,0.186098283
AUT,0.453413722,0.43028218,0.499715002,0.645553227,1,0.589877695,0.435725869,0.694172209,0.305353719,0.420820372,0.629431008,0.677244267,0.196411556,0.22065746,0.24272258,0.655142317,0.563691013,0.598329839,0.535586978,0.201902025,0.744089234,0.429217971,0.502727256,0.290882269,0.864368157,0.282163221,0.686232984,0.75872143,0.361754814,0.589528597,0.320543361,0.461868903,0.605958314,0.571659829,0.511783796,0.382061778,0.575740706,0.766407967,0.412183231,0.566978925,0.452743517,0.664973244,0.591939446,0.551401261,0.371531812,0.270756551,0.672103915,0.312220452,0.201523916,0.552843034,0.276892677,0.589149464,0.279767097,0.366470061,0.366976471,0.25840482,0.201343682,0.752415207,0.530094782,0.311725472,0.542805378,0.527169542,0.44917808,0.395281178,0.694027759,0.342677791,0.577556275,0.669808034,0.404673968,0.544011827,0.670659063,0.275195488,0.462482209,0.356680216,0.499556801,0.474165136,0.715150167,0.733991883,0.257081668,0.843694095,0.651875875,0.359186634,0.640853396,0.348917647,0.287107666,0.694226155,0.369976927,0.433815295,0.64484783,0.522765822,0.193522752,0.651320965,0.278139374,0.28078892,0.186189177,0.291842808,0.290331958,0.25748596,0.165855511,0.259886112
BHR,0.707342464,0.478710048,0.526611487,0.487306544,0.589877695,1,0.475402364,0.551381807,0.532112715,0.53975153,0.525062408,0.610321245,0.419872537,0.405027059,0.496038214,0.456208714,0.495173285,0.325230278,0.361940083,0.466861324,0.472568579,0.573237184,0.578725193,0.438803126,0.564712311,0.491894252,0.476228278,0.518510809,0.601903033,0.390120015,0.431852561,0.46454089,0.572996476,0.318452504,0.288038656,0.539288297,0.440519071,0.551497619,0.52512683,0.446712905,0.185944611,0.460371721,0.592699843,0.725141922,0.607480875,0.285158733,0.405373017,0.439672879,0.280096617,0.363408859,0.453879864,0.489376008,0.309669235,0.397768629,0.59049242,0.316417511,0.340956895,0.423036371,0.327622025,0.36437218,0.592269673,0.498979505,0.447398113,0.442198705,0.528870469,0.311044529,0.451678863,0.529283112,0.40565942,0.535274984,0.48950555,0.316178588,0.415075483,0.545619219,0.581624893,0.427023802,0.529066769,0.641329177,0.420374952,0.497887582,0.511576121,0.584719854,0.404549659,0.542715055,0.526142706,0.522675543,0.439718362,0.549910226,0.382211233,0.460627899,0.301649019,0.648559836,0.387529573,0.415464709,0.182250461,0.022908416,0.024877071,0.071058632,0.004413296,0.042691769
BGD,0.509728012,0.705635373,0.640655721,0.48793887,0.435725869,0.475402364,1,0.39818965,0.441209288,0.544891388,0.650778713,0.575569656,0.413349907,0.745071989,0.384825581,0.248803511,0.473024858,0.475977361,0.713639741,0.377061117,0.290622359,0.678118986,0.689307598,0.583388455,0.524580467,0.41655945,0.561525263,0.507320023,0.490548325,0.484932105,0.558892044,0.619695187,0.459644313,0.560984845,0.696912105,0.583092395,0.061323133,0.581071166,0.495156481,0.56822298,0.224116281,0.462216106,0.66302166,0.448110379,0.396355878,0.463428967,0.556519813,0.45235438,0.644836598,0.69615351,0.394443544,0.720449948,0.176135692,0.721056971,0.534230782,0.668670971,0.666320262,0.373686691,0.348924203,0.826512935,0.743817158,0.709932277,0.560838622,0.571610335,0.587375952,0.569510779,0.625697538,0.569103212,0.146065007,0.260711398,0.541928314,0.764778535,0.56969128,0.479454401,0.097775357,0.805514025,0.447495965,0.492167496,0.600270655,0.395577873,0.091263802,0.465594966,0.47866812,0.446538547,0.589057388,0.616646637,-0.082699258,0.564430158,0.416218688,0.110714245,0.132186389,0.684577217,0.577777668,0.605082381,0.000845895,-0.043610502,-0.030284801,-0.123234018,0.052222946,0.051608534
BEL,0.46144384,0.368296826,0.42378701,0.730516164,0.694172209,0.551381807,0.39818965,1,0.230135466,0.496686737,0.710312275,0.684675057,0.176646768,0.299901724,0.192967263,0.73195731,0.784717295,0.522542156,0.51112544,0.247327435,0.658167179,0.519352174,0.570958395,0.456368132,0.685281459,0.252052979,0.768399327,0.836161665,0.45466534,0.657554928,0.305292088,0.362193078,0.530580258,0.457238808,0.483472299,0.341499911,0.605712984,0.767814352,0.580772192,0.540957165,0.389930072,0.545894846,0.558141082,0.500866684,0.267745709,0.217564883,0.747116191,0.381885871,0.330344989,0.488278705,0.21779928,0.663536815,0.28703318,0.518877368,0.368485556,0.299351219,0.310020318,0.811299482,0.640874158,0.35395071,0.595530322,0.48073899,0.456679284,0.498561009,0.673315097,0.422261936,0.623733989,0.708090749,0.480901983,0.592855062,0.568233388,0.335980504,0.382313261,0.395475217,0.57897298,0.560337496,0.685184677,0.722680661,0.326504353,0.652417459,0.687835433,0.344932701,0.550635729,0.443327751,0.338450712,0.740927412,0.330258172,0.471820253,0.702928424,0.630919631,0.359094932,0.469491455,0.342645525,0.468299515,0.177291667,0.245064713,0.219725215,0.293686245,0.115791086,0.0657344
BEN,0.70861818,0.569304854,0.351057811,0.193176074,0.305353719,0.532112715,0.441209288,0.230135466,1,0.657252231,0.297774765,0.446781885,0.885321292,0.551975548,0.909072552,0.166317053,0.317857432,0.078886653,0.429920566,0.646289875,0.196769886,0.626333869,0.483942338,0.522454719,0.256349165,0.701583279,0.16503258,0.249210835,0.840779177,0.241420188,0.521377248,0.690020922,0.268626667,0.226700546,0.139038616,0.60732438,0.383774287,0.294588677,0.66940529,0.181172184,0.109974694,0.249086149,0.618342426,0.546512785,0.542979719,0.464960083,0.151239741,0.686660114,0.487737884,0.181607664,0.796998734,0.287413761,0.600030929,0.420855059,0.841193753,0.36189852,0.484905637,0.169370774,0.105191125,0.351172058,0.347655342,0.521785466,0.635252029,0.492687509,0.378842605,0.153163976,0.224436319,0.232878187,0.481313556,0.453011742,0.261312671,0.556010149,0.117702767,0.831300607,0.27893591,0.259125395,0.210820419,0.323782531,0.377770524,0.190352116,0.398865709,0.810632887,0.15643987,0.709942356,0.619586118,0.301609876,0.146452945,0.619788703,0.07053996,0.276767485,0.312303991,0.54337901,0.65650185,0.553548262,0.008327915,-0.085208054,-0.153439094,-0.126564252,-0.064463038,-0.088762495
BWA,0.638039291,0.474369517,0.476598557,0.337966567,0.420820372,0.53975153,0.544891388,0.496686737,0.657252231,1,0.496691846,0.582047156,0.586717325,0.560314762,0.60075954,0.376351095,0.60808049,0.1853476,0.405155969,0.523094541,0.183592778,0.614298598,0.595854845,0.543642117,0.434472547,0.565123411,0.374567423,0.455080044,0.758572904,0.448199125,0.54482341,0.588730492,0.240025443,0.397925343,0.391664062,0.667147529,0.393534762,0.45421765,0.708607284,0.441042443,0.281697229,0.526887288,0.666076905,0.596004444,0.424614288,0.377954474,0.370123932,0.523859367,0.517080317,0.401138551,0.509144542,0.60775088,0.523864023,0.568765713,0.637184037,0.437529203,0.530652931,0.369763388,0.273459234,0.501683289,0.510135379,0.45359619,0.620365739,0.663456325,0.587449753,0.436925865,0.443304181,0.395852086,0.480165969,0.477134837,0.551970884,0.587812282,0.259329742,0.681792699,0.393923733,0.537160131,0.419127373,0.470515031,0.329829258,0.320224344,0.454139353,0.660878726,0.472117217,0.663762754,0.461216148,0.504472081,0.268210342,0.688888376,0.276372928,0.387368214,0.409193064,0.578624274,0.62036611,0.542954283,0.026040593,-0.093400481,-0.139999324,-0.093887329,-0.030929839,-0.00154027
