Rank_2022,Rank_2023,country_code,P1,P2,P3,P4,index,change_22_23
1,1,CHE,0.81488919,0.593047981,0.613315614,0.754589146,0.718146224,0
4,2,SGP,0.839778183,0.524985132,0.570047981,0.814051037,0.717728103,2
2,3,LUX,0.75923403,0.663440697,0.63082271,0.773774195,0.717301133,-1
5,4,ARE,0.755005094,0.620429452,0.53584092,0.853171855,0.703890483,1
6,5,USA,0.754377759,0.53025048,0.606297043,0.81492189,0.692044986,1
9,6,NLD,0.796001533,0.576704533,0.490459883,0.798669906,0.691567477,3
7,7,SWE,0.792881552,0.51790571,0.507598801,0.835912935,0.68943611,0
11,8,FIN,0.79811549,0.457545436,0.59594252,0.775090551,0.684961897,3
8,9,DNK,0.765238496,0.566778778,0.508349871,0.814096761,0.68394048,-1
10,10,QAT,0.795787407,0.501868458,0.47711056,0.825136773,0.679138121,0
12,11,GBR,0.700111152,0.589468757,0.600942426,0.750628696,0.668252436,1
13,12,NOR,0.71437078,0.467864717,0.616786827,0.786810759,0.660040773,1
14,13,CAN,0.672271875,0.508706806,0.670638665,0.710303386,0.646838521,1
17,14,MYS,0.791874856,0.499115882,0.404308076,0.695704679,0.63657567,3
15,15,JPN,0.709450806,0.568484928,0.651612344,0.541499475,0.636099672,0
16,16,KOR,0.692830794,0.504675379,0.615755437,0.667790876,0.634776656,0
20,17,DEU,0.756538939,0.447014483,0.552648721,0.659839649,0.634516147,3
22,18,CHN,0.769246721,0.491163329,0.35819082,0.723252907,0.6222201,4
21,19,AUT,0.723697686,0.484736357,0.512293713,0.643317404,0.617548569,2
18,20,NZL,0.60549332,0.573402246,0.568874711,0.72288316,0.615229352,-2
23,21,IRL,0.67738979,0.441616538,0.549373691,0.710418133,0.611237589,2
24,22,BEL,0.661567533,0.459817859,0.529780933,0.665303777,0.595607527,2
27,23,FRA,0.711475816,0.499614361,0.511373316,0.540117309,0.594811324,4
26,24,EST,0.70378722,0.42472013,0.454790119,0.663867142,0.590190366,2
25,25,ESP,0.634456409,0.464459553,0.579603068,0.589757877,0.580546663,0
28,26,AUS,0.600028668,0.494410725,0.580019456,0.62316595,0.579530693,2
29,27,OMN,0.725357696,0.398477056,0.466662071,0.575418685,0.578254641,2
31,28,BHR,0.664424904,0.430530642,0.465340786,0.654154696,0.575775187,3
