country_code,P1,P2,P3,P4,index,clusters,SVD_clusters
AGO,0.485,0.155,0.314,0.149,0.276,2,7
ARE,0.755,0.620,0.536,0.853,0.691,4,0
ARG,0.549,0.385,0.366,0.437,0.434,3,1
AUS,0.600,0.494,0.580,0.623,0.574,7,4
AUT,0.724,0.485,0.512,0.643,0.591,7,6
BEL,0.662,0.460,0.530,0.665,0.579,7,6
BEN,0.582,0.142,0.250,0.267,0.310,2,2
BFA,0.479,0.145,0.270,0.228,0.281,2,2
BGD,0.675,0.240,0.238,0.275,0.357,6,9
BGR,0.561,0.421,0.382,0.423,0.447,3,1
BHR,0.664,0.431,0.465,0.654,0.554,1,3
BRA,0.611,0.270,0.418,0.459,0.439,3,1
BWA,0.441,0.244,0.278,0.254,0.304,6,3
CAN,0.672,0.509,0.671,0.710,0.640,4,4
CHE,0.815,0.593,0.613,0.755,0.694,4,0
CHL,0.594,0.412,0.443,0.627,0.519,3,1
CHN,0.769,0.491,0.358,0.723,0.585,8,6
CIV,0.497,0.215,0.251,0.372,0.334,2,2
CMR,0.467,0.135,0.252,0.340,0.298,2,2
COL,0.661,0.297,0.304,0.522,0.446,3,1
DEU,0.757,0.447,0.553,0.660,0.604,7,6
DNK,0.765,0.567,0.508,0.814,0.664,4,6
DOM,0.698,0.270,0.330,0.500,0.450,6,3
DZA,0.526,0.273,0.260,0.342,0.350,2,2
EGY,0.681,0.314,0.281,0.494,0.443,6,3
ESP,0.634,0.464,0.580,0.590,0.567,7,6
EST,0.704,0.425,0.455,0.664,0.562,7,6
ETH,0.450,0.201,0.339,0.251,0.310,2,2
FIN,0.798,0.458,0.596,0.775,0.657,5,8
FRA,0.711,0.500,0.511,0.540,0.566,7,6
GBR,0.700,0.589,0.601,0.751,0.660,4,4
GHA,0.669,0.266,0.251,0.359,0.386,2,2
GRC,0.609,0.337,0.393,0.399,0.434,3,1
GTM,0.507,0.292,0.274,0.528,0.400,0,3
HND,0.604,0.220,0.274,0.441,0.385,0,3
HRV,0.398,0.368,0.441,0.397,0.401,5,5
HUN,0.544,0.438,0.385,0.431,0.450,3,1
IDN,0.752,0.334,0.277,0.550,0.478,9,1
IND,0.672,0.352,0.313,0.549,0.472,9,1
IRL,0.677,0.442,0.549,0.710,0.595,4,4
IRN,0.617,0.360,0.110,0.460,0.387,6,3
ITA,0.622,0.455,0.542,0.506,0.531,3,1
JAM,0.625,0.294,0.427,0.452,0.449,0,3
JOR,0.613,0.363,0.271,0.554,0.450,9,3
JPN,0.709,0.568,0.652,0.541,0.618,7,6
KAZ,0.595,0.340,0.343,0.528,0.452,3,1
KEN,0.683,0.281,0.282,0.481,0.432,6,3
KHM,0.551,0.256,0.265,0.415,0.372,6,9
KOR,0.693,0.505,0.616,0.668,0.620,7,6
KWT,0.656,0.472,0.428,0.576,0.533,1,3
LBN,0.459,0.244,0.180,0.410,0.323,0,2
LBR,0.454,0.153,0.016,0.323,0.237,2,7
LKA,0.443,0.353,0.310,0.477,0.396,6,3
LTU,0.682,0.405,0.197,0.659,0.486,7,1
LUX,0.759,0.663,0.631,0.774,0.707,5,8
MAR,0.726,0.306,0.253,0.486,0.443,3,1
MDG,0.513,0.163,0.012,0.284,0.243,2,2
MEX,0.622,0.286,0.271,0.553,0.433,3,1
MLI,0.438,0.170,0.081,0.365,0.264,2,2
MMR,0.598,0.264,0.208,0.366,0.359,6,7
MNG,0.494,0.274,0.039,0.475,0.320,0,2
MOZ,0.570,0.152,0.270,0.285,0.319,2,2
MWI,0.662,0.228,0.016,0.307,0.303,6,7
MYS,0.792,0.499,0.404,0.696,0.598,9,1
NAM,0.491,0.333,0.331,0.355,0.378,6,7
NGA,0.680,0.225,0.242,0.378,0.381,6,7
NLD,0.796,0.577,0.490,0.799,0.665,4,6
NOR,0.714,0.468,0.617,0.787,0.646,5,8
NZL,0.605,0.573,0.569,0.723,0.618,4,4
OMN,0.725,0.398,0.467,0.575,0.541,3,1
PAK,0.544,0.318,0.250,0.459,0.393,6,3
PAN,0.706,0.451,0.284,0.562,0.501,1,3
PER,0.576,0.317,0.300,0.446,0.410,3,1
PHL,0.605,0.303,0.257,0.533,0.425,9,1
POL,0.600,0.422,0.410,0.481,0.478,3,1
PRT,0.673,0.483,0.501,0.545,0.551,7,1
PRY,0.539,0.240,0.273,0.459,0.378,6,3
QAT,0.796,0.502,0.477,0.825,0.650,1,0
ROU,0.572,0.464,0.348,0.461,0.461,1,3
RUS,0.581,0.392,0.371,0.445,0.447,3,1
RWA,0.799,0.209,0.262,0.445,0.429,6,9
SAU,0.701,0.375,0.375,0.610,0.515,9,1
SEN,0.712,0.290,0.236,0.379,0.404,2,2
SGP,0.840,0.525,0.570,0.814,0.687,4,0
SLV,0.576,0.250,0.277,0.411,0.378,0,3
SVK,0.477,0.430,0.268,0.507,0.421,5,5
SWE,0.793,0.518,0.508,0.836,0.664,4,6
THA,0.646,0.466,0.119,0.577,0.452,1,1
TTO,0.677,0.289,0.194,0.380,0.385,0,2
TUN,0.666,0.223,0.319,0.436,0.411,0,3
TUR,0.614,0.317,0.533,0.495,0.490,3,1
TZA,0.678,0.172,0.236,0.345,0.358,2,2
UGA,0.655,0.211,0.354,0.310,0.383,2,3
UKR,0.466,0.361,0.449,0.429,0.426,5,5
USA,0.754,0.530,0.606,0.815,0.676,4,4
VEN,0.456,0.237,0.349,0.374,0.354,2,2
VNM,0.604,0.340,0.273,0.507,0.431,1,3
ZAF,0.627,0.324,0.326,0.429,0.427,3,1
ZMB,0.659,0.271,0.255,0.324,0.377,6,7
ZWE,0.531,0.159,0.246,0.321,0.314,2,7
